Test set: Average loss: 1.0332, Accuracy: 329/638 (51.57%)
Test set: Average loss: 0.5182, Accuracy: 505/638 (79.15%)
Test set: Average loss: 0.4454, Accuracy: 531/638 (83.23%)
Test set: Average loss: 0.5285, Accuracy: 513/638 (80.41%)
Test set: Average loss: 0.7812, Accuracy: 404/638 (63.32%)
Test set: Average loss: 0.9332, Accuracy: 354/638 (55.49%)
Test set: Average loss: 0.8963, Accuracy: 574/638 (89.97%)
Test set: Average loss: 0.6476, Accuracy: 583/638 (91.38%)
Test set: Average loss: 0.6980, Accuracy: 586/638 (91.85%)
Test set: Average loss: 0.6351, Accuracy: 593/638 (92.95%)

Test set: Average loss: 1.0219, Accuracy: 329/638 (51.57%)
Test set: Average loss: 0.5086, Accuracy: 527/638 (82.60%)
Test set: Average loss: 0.3937, Accuracy: 551/638 (86.36%)
Test set: Average loss: 1.0046, Accuracy: 332/638 (52.04%)
Test set: Average loss: 0.3353, Accuracy: 560/638 (87.77%)
Test set: Average loss: 0.8941, Accuracy: 376/638 (58.93%)
Test set: Average loss: 0.5405, Accuracy: 601/638 (94.20%)
Test set: Average loss: 0.7472, Accuracy: 583/638 (91.38%)
Test set: Average loss: 0.4987, Accuracy: 592/638 (92.79%)
Test set: Average loss: 0.5124, Accuracy: 606/638 (94.98%)

Test set: Average loss: 1.0322, Accuracy: 329/638 (51.57%)
Test set: Average loss: 1.0313, Accuracy: 329/638 (51.57%)
Test set: Average loss: 0.9892, Accuracy: 331/638 (51.88%)
Test set: Average loss: 0.5367, Accuracy: 502/638 (78.68%)
Test set: Average loss: 0.8290, Accuracy: 393/638 (61.60%)
Test set: Average loss: 0.5750, Accuracy: 490/638 (76.80%)
Test set: Average loss: 0.7740, Accuracy: 578/638 (90.60%)
Test set: Average loss: 0.6810, Accuracy: 591/638 (92.63%)
Test set: Average loss: 0.3933, Accuracy: 608/638 (95.30%)
Test set: Average loss: 0.5665, Accuracy: 592/638 (92.79%)

Test set: Average loss: 0.7246, Accuracy: 416/638 (65.20%)
Test set: Average loss: 1.0313, Accuracy: 329/638 (51.57%)
Test set: Average loss: 0.6944, Accuracy: 435/638 (68.18%)
Test set: Average loss: 0.5124, Accuracy: 507/638 (79.47%)
Test set: Average loss: 0.6809, Accuracy: 425/638 (66.61%)
Test set: Average loss: 0.5955, Accuracy: 487/638 (76.33%)
Test set: Average loss: 0.8072, Accuracy: 572/638 (89.66%)
Test set: Average loss: 0.7217, Accuracy: 590/638 (92.48%)
Test set: Average loss: 0.6809, Accuracy: 589/638 (92.32%)
Test set: Average loss: 0.7077, Accuracy: 586/638 (91.85%)
